
Segment Intensity Min Ch=2 Img=1
 ==================== 
Segment Intensity Min,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
6,,Segment,2,2,Image 1,1,1,100000000,510000000003,
20,,Segment,2,2,Image 1,2,1,100000000,510000000023,
55,,Segment,2,3,Image 1,2,1,100000000,510000000028,
42,,Segment,2,3,Image 1,3,1,100000000,510000000050,
4,,Segment,2,1,Image 1,2,1,100000000,510000000064,
78,,Segment,2,2,Image 1,2,1,100000000,510000000068,
3,,Segment,2,1,Image 1,2,1,100000000,510000000073,
55,,Segment,2,2,Image 1,2,1,100000000,510000000075,
70,,Segment,2,2,Image 1,3,1,100000000,510000000083,
20,,Segment,2,2,Image 1,3,1,100000000,510000000086,
42,,Segment,2,3,Image 1,3,1,100000000,510000000093,
32,,Segment,2,4,Image 1,3,1,100000000,510000000096,
18,,Segment,2,4,Image 1,4,1,100000000,510000000103,
28,,Segment,2,3,Image 1,4,1,100000000,510000000110,
26,,Segment,2,3,Image 1,2,1,100000000,510000000117,
73,,Segment,2,4,Image 1,2,1,100000000,510000000124,
7,,Segment,2,4,Image 1,3,1,100000000,510000000134,
14,,Segment,2,3,Image 1,3,1,100000000,510000000137,
8,,Segment,2,2,Image 1,3,1,100000000,510000000149,
77,,Segment,2,3,Image 1,3,1,100000000,510000000151,
17,,Segment,2,3,Image 1,4,1,100000000,510000000163,
48,,Segment,2,3,Image 1,4,1,100000000,510000000184,
63,,Segment,2,2,Image 1,3,1,100000000,510000000209,
0,,Segment,2,2,Image 1,1,1,100000001,510000000226,
0,,Segment,2,3,Image 1,1,1,100000001,510000000230,
0,,Segment,2,2,Image 1,2,1,100000001,510000000252,
0,,Segment,2,1,Image 1,1,1,100000001,510000000264,
0,,Segment,2,3,Image 1,1,1,100000001,510000000274,
0,,Segment,2,3,Image 1,2,1,100000001,510000000282,
0,,Segment,2,4,Image 1,3,1,100000001,510000000314,
0,,Segment,2,2,Image 1,2,1,100000001,510000000318,
0,,Segment,2,3,Image 1,2,1,100000001,510000000326,
0,,Segment,2,4,Image 1,2,1,100000001,510000000350,
0,,Segment,2,4,Image 1,3,1,100000001,510000000359,
0,,Segment,2,1,Image 1,1,1,100000001,510000000384,
0,,Segment,2,2,Image 1,1,1,100000001,510000000397,
0,,Segment,2,3,Image 1,2,1,100000001,510000000402,
0,,Segment,2,1,Image 1,1,1,100000001,510000000417,
0,,Segment,2,3,Image 1,3,1,100000001,510000000438,
0,,Segment,2,2,Image 1,2,1,100000001,510000000458,
0,,Segment,2,1,Image 1,1,1,100000002,510000000474,
0,,Segment,2,2,Image 1,1,1,100000002,510000000493,
6,,Segment,2,3,Image 1,1,1,100000002,510000000496,
0,,Segment,2,1,Image 1,1,1,100000002,510000000506,
0,,Segment,2,2,Image 1,1,1,100000002,510000000514,
0,,Segment,2,1,Image 1,1,1,100000002,510000000526,
4,,Segment,2,2,Image 1,1,1,100000002,510000000535,
0,,Segment,2,1,Image 1,1,1,100000002,510000000544,
0,,Segment,2,2,Image 1,1,1,100000002,510000000546,
0,,Segment,2,3,Image 1,1,1,100000002,510000000554,
