
Segment Center Intensity Max Ch=2 Img=1
 ==================== 
Segment Center Intensity Max,Unit,Category,Channel,Depth,Image,Level,Time,FilamentID,ID,
169,,Segment,2,1,Image 1,1,1,100000000,510000000001,
203,,Segment,2,2,Image 1,2,1,100000000,510000000007,
76,,Segment,2,1,Image 1,1,1,100000000,510000000045,
56,,Segment,2,2,Image 1,1,1,100000000,510000000051,
191,,Segment,2,3,Image 1,1,1,100000000,510000000053,
197,,Segment,2,2,Image 1,2,1,100000000,510000000095,
176,,Segment,2,1,Image 1,1,1,100000000,510000000138,
176,,Segment,2,2,Image 1,1,1,100000000,510000000141,
205,,Segment,2,2,Image 1,2,1,100000000,510000000158,
140,,Segment,2,2,Image 1,2,1,100000000,510000000189,
192,,Segment,2,3,Image 1,2,1,100000000,510000000204,
196,,Segment,2,3,Image 1,3,1,100000000,510000000217,
183,,Segment,2,3,Image 1,1,1,100000000,510000000232,
193,,Segment,2,3,Image 1,2,1,100000000,510000000259,
208,,Segment,2,3,Image 1,2,1,100000000,510000000294,
200,,Segment,2,3,Image 1,2,1,100000000,510000000330,
196,,Segment,2,3,Image 1,1,1,100000000,510000000372,
186,,Segment,2,3,Image 1,2,1,100000000,510000000414,
182,,Segment,2,3,Image 1,1,1,100000001,510000000431,
130,,Segment,2,4,Image 1,1,1,100000001,510000000447,
60,,Segment,2,1,Image 1,1,1,100000001,510000000450,
192,,Segment,2,2,Image 1,1,1,100000001,510000000454,
202,,Segment,2,3,Image 1,1,1,100000001,510000000457,
180,,Segment,2,1,Image 1,1,1,100000001,510000000474,
202,,Segment,2,2,Image 1,1,1,100000001,510000000481,
197,,Segment,2,3,Image 1,2,1,100000001,510000000495,
199,,Segment,2,1,Image 1,1,1,100000001,510000000505,
190,,Segment,2,3,Image 1,2,1,100000001,510000000517,
164,,Segment,2,4,Image 1,2,1,100000001,510000000524,
201,,Segment,2,2,Image 1,2,1,100000001,510000000529,
190,,Segment,2,1,Image 1,1,1,100000001,510000000540,
196,,Segment,2,2,Image 1,1,1,100000001,510000000543,
177,,Segment,2,1,Image 1,1,1,100000001,510000000562,
196,,Segment,2,2,Image 1,2,1,100000001,510000000570,
187,,Segment,2,1,Image 1,1,1,100000001,510000000573,
198,,Segment,2,2,Image 1,2,1,100000001,510000000580,
180,,Segment,2,2,Image 1,2,1,100000001,510000000594,
185,,Segment,2,4,Image 1,3,1,100000001,510000000599,
205,,Segment,2,4,Image 1,2,1,100000001,510000000610,
193,,Segment,2,2,Image 1,1,1,100000002,510000000616,
208,,Segment,2,3,Image 1,1,1,100000002,510000000635,
202,,Segment,2,3,Image 1,2,1,100000002,510000000663,
187,,Segment,2,1,Image 1,1,1,100000002,510000000685,
110,,Segment,2,2,Image 1,1,1,100000002,510000000709,
155,,Segment,2,3,Image 1,1,1,100000002,510000000711,
155,,Segment,2,4,Image 1,1,1,100000002,510000000716,
201,,Segment,2,2,Image 1,2,1,100000002,510000000726,
185,,Segment,2,4,Image 1,2,1,100000002,510000000743,
204,,Segment,2,3,Image 1,2,1,100000002,510000000755,
184,,Segment,2,1,Image 1,1,1,100000002,510000000760,
185,,Segment,2,3,Image 1,1,1,100000002,510000000765,
185,,Segment,2,3,Image 1,2,1,100000002,510000000773,
203,,Segment,2,2,Image 1,2,1,100000002,510000000783,
199,,Segment,2,2,Image 1,2,1,100000002,510000000798,
205,,Segment,2,1,Image 1,1,1,100000002,510000000824,
200,,Segment,2,2,Image 1,2,1,100000002,510000000832,
162,,Segment,2,2,Image 1,1,1,100000003,510000000846,
78,,Segment,2,0,Image 1,1,1,100000003,510000000855,
192,,Segment,2,1,Image 1,1,1,100000003,510000000857,
98,,Segment,2,3,Image 1,2,1,100000003,510000000884,
160,,Segment,2,4,Image 1,2,1,100000003,510000000886,
142,,Segment,2,3,Image 1,3,1,100000003,510000000893,
202,,Segment,2,4,Image 1,3,1,100000003,510000000899,
162,,Segment,2,4,Image 1,4,1,100000003,510000000907,
52,,Segment,2,2,Image 1,3,1,100000003,510000000910,
190,,Segment,2,3,Image 1,3,1,100000003,510000000912,
198,,Segment,2,3,Image 1,4,1,100000003,510000000934,
190,,Segment,2,8,Image 1,4,1,100000003,510000000951,
186,,Segment,2,8,Image 1,5,1,100000003,510000000961,
194,,Segment,2,8,Image 1,5,1,100000003,510000000979,
186,,Segment,2,9,Image 1,5,1,100000003,510000000986,
194,,Segment,2,8,Image 1,6,1,100000003,510000000995,
197,,Segment,2,9,Image 1,6,1,100000003,510000000997,
203,,Segment,2,6,Image 1,5,1,100000003,510000001012,
190,,Segment,2,5,Image 1,4,1,100000003,510000001037,
195,,Segment,2,4,Image 1,4,1,100000003,510000001057,
185,,Segment,2,5,Image 1,5,1,100000003,510000001060,
172,,Segment,2,6,Image 1,5,1,100000003,510000001062,
202,,Segment,2,9,Image 1,7,1,100000003,510000001072,
205,,Segment,2,9,Image 1,6,1,100000003,510000001077,
193,,Segment,2,7,Image 1,5,1,100000003,510000001085,
175,,Segment,2,2,Image 1,3,1,100000003,510000001099,
180,,Segment,2,2,Image 1,2,1,100000003,510000001118,
195,,Segment,2,1,Image 1,2,1,100000003,510000001127,
186,,Segment,2,4,Image 1,3,1,100000003,510000001138,
202,,Segment,2,1,Image 1,2,1,100000003,510000001158,
182,,Segment,2,1,Image 1,1,1,100000004,510000001175,
202,,Segment,2,2,Image 1,2,1,100000004,510000001196,
172,,Segment,2,3,Image 1,2,1,100000004,510000001204,
183,,Segment,2,3,Image 1,3,1,100000004,510000001211,
194,,Segment,2,1,Image 1,2,1,100000004,510000001218,
165,,Segment,2,1,Image 1,1,1,100000004,510000001242,
176,,Segment,2,2,Image 1,1,1,100000004,510000001244,
207,,Segment,2,2,Image 1,3,1,100000004,510000001259,
142,,Segment,2,2,Image 1,3,1,100000004,510000001270,
171,,Segment,2,3,Image 1,3,1,100000004,510000001272,
190,,Segment,2,4,Image 1,3,1,100000004,510000001275,
175,,Segment,2,4,Image 1,4,1,100000004,510000001293,
193,,Segment,2,2,Image 1,2,1,100000004,510000001302,
179,,Segment,2,3,Image 1,4,1,100000004,510000001319,
203,,Segment,2,1,Image 1,1,1,100000005,510000001337,
205,,Segment,2,1,Image 1,1,1,100000005,510000001375,
187,,Segment,2,2,Image 1,1,1,100000005,510000001403,
190,,Segment,2,1,Image 1,1,1,100000005,510000001419,
195,,Segment,2,1,Image 1,1,1,100000005,510000001434,
128,,Segment,2,1,Image 1,1,1,100000005,510000001466,
149,,Segment,2,2,Image 1,1,1,100000005,510000001468,
196,,Segment,2,3,Image 1,1,1,100000005,510000001470,
180,,Segment,2,2,Image 1,2,1,100000005,510000001515,
203,,Segment,2,3,Image 1,2,1,100000005,510000001517,
214,,Segment,2,3,Image 1,3,1,100000005,510000001545,
195,,Segment,2,3,Image 1,2,1,100000005,510000001563,
201,,Segment,2,2,Image 1,2,1,100000005,510000001589,
197,,Segment,2,3,Image 1,2,1,100000005,510000001599,
195,,Segment,2,3,Image 1,3,1,100000005,510000001611,
183,,Segment,2,2,Image 1,1,1,100000006,510000001633,
194,,Segment,2,2,Image 1,2,1,100000006,510000001648,
208,,Segment,2,2,Image 1,2,1,100000006,510000001680,
158,,Segment,2,2,Image 1,1,1,100000006,510000001689,
194,,Segment,2,3,Image 1,1,1,100000006,510000001692,
160,,Segment,2,2,Image 1,2,1,100000006,510000001734,
189,,Segment,2,3,Image 1,2,1,100000006,510000001744,
180,,Segment,2,3,Image 1,3,1,100000006,510000001753,
203,,Segment,2,1,Image 1,1,1,100000006,510000001759,
194,,Segment,2,3,Image 1,2,1,100000006,510000001769,
201,,Segment,2,3,Image 1,2,1,100000006,510000001778,
191,,Segment,2,3,Image 1,3,1,100000006,510000001796,
149,,Segment,2,2,Image 1,1,1,100000007,510000001816,
188,,Segment,2,3,Image 1,1,1,100000007,510000001818,
139,,Segment,2,1,Image 1,1,1,100000007,510000001834,
150,,Segment,2,2,Image 1,2,1,100000007,510000001847,
171,,Segment,2,3,Image 1,2,1,100000007,510000001850,
191,,Segment,2,2,Image 1,1,1,100000007,510000001866,
179,,Segment,2,1,Image 1,1,1,100000007,510000001885,
185,,Segment,2,2,Image 1,1,1,100000007,510000001892,
190,,Segment,2,2,Image 1,2,1,100000007,510000001903,
173,,Segment,2,2,Image 1,2,1,100000007,510000001915,
169,,Segment,2,1,Image 1,1,1,100000007,510000001923,
186,,Segment,2,1,Image 1,1,1,100000007,510000001931,
139,,Segment,2,3,Image 1,3,1,100000007,510000001949,
186,,Segment,2,3,Image 1,2,1,100000007,510000001953,
197,,Segment,2,0,Image 1,1,1,100000008,510000001968,
83,,Segment,2,2,Image 1,1,1,100000008,510000001975,
124,,Segment,2,3,Image 1,1,1,100000008,510000001977,
187,,Segment,2,4,Image 1,1,1,100000008,510000001980,
198,,Segment,2,1,Image 1,2,1,100000008,510000001997,
190,,Segment,2,4,Image 1,2,1,100000008,510000002005,
186,,Segment,2,2,Image 1,2,1,100000008,510000002022,
134,,Segment,2,1,Image 1,2,1,100000008,510000002027,
178,,Segment,2,2,Image 1,2,1,100000008,510000002031,
138,,Segment,2,2,Image 1,2,1,100000008,510000002036,
173,,Segment,2,3,Image 1,2,1,100000008,510000002040,
204,,Segment,2,3,Image 1,3,1,100000008,510000002045,
194,,Segment,2,3,Image 1,2,1,100000008,510000002056,
197,,Segment,2,2,Image 1,2,1,100000008,510000002076,
179,,Segment,2,2,Image 1,3,1,100000008,510000002093,
186,,Segment,2,1,Image 1,2,1,100000009,510000002102,
198,,Segment,2,1,Image 1,2,1,100000009,510000002111,
110,,Segment,2,1,Image 1,1,1,100000009,510000002126,
194,,Segment,2,3,Image 1,1,1,100000009,510000002129,
192,,Segment,2,3,Image 1,2,1,100000009,510000002143,
181,,Segment,2,2,Image 1,2,1,100000009,510000002148,
180,,Segment,2,3,Image 1,2,1,100000009,510000002151,
205,,Segment,2,2,Image 1,2,1,100000009,510000002156,
190,,Segment,2,3,Image 1,3,1,100000009,510000002165,
191,,Segment,2,1,Image 1,2,1,100000009,510000002171,
191,,Segment,2,2,Image 1,2,1,100000009,510000002176,
198,,Segment,2,2,Image 1,3,1,100000009,510000002180,
115,,Segment,2,1,Image 1,1,1,100000010,510000002194,
129,,Segment,2,2,Image 1,1,1,100000010,510000002196,
203,,Segment,2,3,Image 1,1,1,100000010,510000002202,
142,,Segment,2,2,Image 1,2,1,100000010,510000002218,
192,,Segment,2,3,Image 1,2,1,100000010,510000002226,
120,,Segment,2,1,Image 1,2,1,100000010,510000002246,
